Código;Cliente;Data Pedido;Data Entrega;Valor Pedido;Situação
83;Aureo Isidor Ambrozi;2013-02-11;2013-02-21;2796.35;I;

84;Erlande Roger Vargens;2011-12-28;2012-01-04;5259.71;C;

85;Liviane Carli Korschner;2014-01-23;2014-02-03;1829.13;C;

86;Eliria Glaucir Luza;2012-08-02;2012-08-12;7525.77;A;

87;Nildemar Alencar Cessario;2016-05-07;2016-05-17;6347.64;Q;

88;Naziozena Enedir Henkel;2013-05-27;2013-06-06;5269.05;I;

89;Jenilda Naissinger Bourcheidt;2015-04-13;2015-04-23;3253.13;I;

90;Marize Saran Meneghel;2015-04-22;2015-05-01;492.02;Q;

91;Dalvanir Elton Matielo;2011-06-08;2011-06-18;7565.2;I;

92;Elaneide Ulisses Marian;2015-07-31;2015-08-10;7523.92;A;

93;Maguida Damas Petter;2009-04-16;2009-04-26;6883.41;I;

94;Herivelto Sabrine Ruas;2008-12-22;2008-12-30;5752.02;C;

95;Jenilton Catia Cerutti;2010-12-03;2010-12-13;6105.88;Q;

96;Carlito Florentino Valenca;2009-04-09;2009-04-19;290.41;A;

97;Denivaldo Sandro Gondorek;2011-09-17;2011-09-27;5511.05;I;

98;Avanilson Nespolo Damaceno;2010-12-26;2011-01-02;8489.93;A;

99;Thomaz Lucir Varjao;2013-07-26;2013-08-04;8124.58;A;

100;Derly Herberto Manzoni;2013-07-02;2013-07-12;7726.52;A;

101;Elionai Cirqueira Picoli;2012-02-28;2012-03-08;5035.4;Q;

102;Francilandia Caceres Graeff;2016-02-28;2016-03-09;6635.98;Q;

103;Julceni Carisane Andre;2016-04-09;2016-04-19;7354.44;I;

104;Samara Costa Godoi;2013-01-05;2013-01-15;5013.42;A;

105;Selesi Leonilda Bacelar;2008-08-13;2008-08-23;6507.2;A;

106;Agrinaldo Estulano Kunzler;2009-10-07;2009-10-17;6270.35;C;

107;Jadilson Sartori Terebinto;2011-03-13;2011-03-23;5958.62;I;

108;Edneusa N.Ferreira Lehnen;2011-12-08;2011-12-18;8867.24;A;

109;Irislan Prata Birck;2013-02-22;2013-03-03;5212.12;C;

110;Ribamar Prado Glenzel;2012-04-14;2012-04-24;2764.93;I;

111;Edilvane Tomaz Schimidtt;2012-09-04;2012-09-14;5289.94;I;

112;Aureny Detanico Teixiera;2015-07-27;2015-08-05;8746.62;I;

113;Devanir Elizandra Queiros;2009-09-28;2009-10-07;7756.5;C;

114;Ismail Dionelo Kroning;2008-08-29;2008-09-09;108.36;C;

115;Luziene Jandir Jaeger;2014-11-22;2014-12-05;6786.15;A;

116;Emilene Jocelito Moreno;2016-02-08;2016-02-18;1485.74;I;

117;Aleferson Alecsander Antich;2009-09-14;2009-09-24;7194.55;I;

118;Uering D.Do Grutzmann;2010-01-21;2010-02-01;1003.37;C;

119;Sandreli S Caberlon;2013-04-29;2013-05-08;6482.72;Q;

120;Roan Christiane Brum;2016-03-20;2016-03-31;1620.4;A;

121;Rosandra Belmirio Sangiogo;2009-09-12;2009-09-22;1332.02;C;

122;Thatiana Silvane Evagelista;2009-11-09;2009-11-19;8693.52;C;

123;Elisiane Avance Dreyer;2013-12-19;2013-12-29;1902.99;Q;

124;Claucides Adilar Leite;2014-12-08;2014-12-18;1679.04;I;

125;Roquilandia Jeane Menegusso;2009-02-28;2009-03-10;5716.91;I;

126;Franksley Renner Te;2016-04-03;2016-04-13;3705.02;A;

127;Joana Staier Feiten;2011-04-17;2011-04-27;8163.08;Q;

128;Ida Ozoel Faria;2009-04-20;2009-04-30;7436.59;C;

129;Aguimar Adimar Garcez;2015-07-17;2015-07-27;1735.96;A;

130;Wilk Cafe Froge;2010-03-23;2010-04-03;3190.32;Q;

131;Gildineia Ramgrab Kirsch;2011-12-08;2011-12-18;4520.63;I;

132;Atilas Graziani Konig;2013-02-25;2013-03-06;2061.68;A;

133;Osmanio Deivid Grespan;2011-11-27;2011-12-10;6337.06;Q;

134;Francklin Medianeira Neri;2011-01-12;2011-01-22;5082.66;A;

135;Adailto Neudir Rocha;2010-01-08;2010-01-18;4222.1;A;

136;Yuri Cedinei Hister;2011-07-27;2011-08-05;2548.43;Q;

137;Leanderson Andre Drabach;2008-07-13;2008-07-23;344.43;C;

138;Tarcio Giovani Muck;2008-10-18;2008-10-28;8744.98;C;

139;Celi Kleberton Franco;2012-05-12;2012-05-22;4127.95;A;

140;Jucelda Elizangela Dativa;2015-11-17;2015-11-27;7031.25;Q;

141;Lelio Abrao Ariati;2012-05-04;2012-05-14;291.71;Q;

142;Ailton Eustaquio Narcizo;2010-08-30;2010-09-10;1638.57;I;

143;Nilsangela Quaresma Bonifacio;2008-10-12;2008-10-22;4016.67;Q;

144;Alena Custodio Ferandes;2015-11-08;2015-11-18;1010.63;Q;

145;Josicley Solon Meira;2013-08-19;2013-08-29;590.39;C;

146;Jairton Zatta Herbes;2009-01-09;2009-01-19;4352.35;I;

147;Felipina Lemes da Silva;2009-08-18;2009-08-28;8999.66;A;

148;Marigelci Davis Salcher;2012-09-26;2012-10-05;4078.96;C;

149;Jiane Lopes Celestino;2011-12-09;2011-12-19;6745.39;Q;

150;Gilcimar Bellaver Signori;2012-05-08;2012-05-18;2589.6;Q;

151;Weldes Lessa Cuz;2016-04-17;2016-04-27;1900.82;I;

152;Aluizio Neris Follmer;2011-06-02;2011-06-12;6833.08;A;

153;Noel Aprigio Anjo;2012-11-14;2012-11-24;7184.45;Q;

154;Elani Eliel Dallazem;2009-04-15;2009-04-25;28.57;Q;

155;Valdevino Mara Louis;2015-08-08;2015-08-18;9395.55;A;

156;Jeanete Medeiros Lago;2014-07-04;2014-07-14;753.31;A;

157;Andreges Freese Markus;2008-07-27;2008-08-05;341.99;Q;

158;Adriani Juliano Kinast;2014-05-20;2014-05-30;5518.52;I;

159;Alberi Gefersom Espindola;2015-05-04;2015-05-14;2451.01;C;

160;Weudes C. Marcos Rocha;2012-10-29;2012-11-08;8233.16;Q;

161;Abinael Barboza Correia;2013-05-21;2013-05-31;9450.67;Q;

162;Itatiane Ribeiro Soder;2014-05-19;2014-05-29;480.25;Q;

163;Jociliane Emanuely Ruzciski;2013-11-15;2013-11-25;929.91;C;

164;Lizeu Dilson Pozza;2015-03-28;2015-04-08;1550.18;Q;

165;Seberino Edio Simplicio;2010-10-23;2010-11-02;7837.59;C;

166;Arlan Belair Mengel;2013-02-21;2013-03-02;9502.04;A;

167;Cristovao Martimiano Marins;2012-09-08;2012-09-18;1296.05;A;

168;Peri Macario Vinder;2009-03-09;2009-03-19;8090.93;Q;

169;Leatrice Teotonio Spohr;2012-12-20;2012-12-29;8843.34;I;

170;Izete Jacinto Kaspary;2012-10-08;2012-10-18;915.1;A;

171;Idalei Anilton Jacumel;2016-03-24;2016-04-04;8506.99;A;

172;Regina Michel Valentim;2014-01-18;2014-01-28;7476.26;I;

173;Esmael T.Moreira Landfeldt;2012-02-09;2012-02-19;2631.94;A;

174;Raimunda Vianna Ew;2009-07-29;2009-08-07;500.39;I;

175;Zilmara Nolasco Ev;2014-10-03;2014-10-13;2621.03;I;

176;Julimarcia F. S. de Maneses;2014-08-06;2014-08-16;1912.41;C;

177;Cidauro Nobres Nigro;2010-04-19;2010-04-29;3046.86;C;

178;Onira Enri Maurer;2014-01-17;2014-01-27;903.65;Q;

179;Gildacio Riviane Tempass;2010-02-22;2010-03-03;5747.99;A;

180;Ilisiane Goulart Drescher;2015-08-24;2015-09-04;2463.3;Q;

181;Gle Julia Dallarosa;2010-04-10;2010-04-20;6284.62;A;

182;Adauberto Cacildo Komuinski;2011-05-30;2011-06-09;64.89;I;

183;Filonila Paiva Vostal;2011-11-23;2011-12-06;4270.67;C;

184;Irailda Olindo Alemao;2011-12-04;2011-12-14;8910.42;C;

185;Valdireni Monteblanco Andrades;2011-08-24;2011-09-04;3208.89;C;

8281;Clenio E.Santos O.Andrade;2009-02-27;2009-03-08;2816.58;I;

8282;Ailto Werlang Santos.;2015-01-05;2015-01-15;136.79;I;

8283;Cherle Raffo Freitas;2010-12-11;2010-12-21;225.44;I;

8284;Irailda Olindo Alemao;2010-09-20;2010-09-30;8770.33;Q;

8285;Neilda F. de Bronzoni;2012-02-08;2012-02-18;7209.87;Q;

8286;Claudirene Reis. Berlesi;2014-06-11;2014-06-21;878.66;Q;

8287;Cosmerinda Ficagna Bischoff;2009-11-02;2009-11-12;9110.19;I;

8288;Roseane Eugenio Klippel;2015-04-19;2015-04-29;5433.09;Q;

8289;Agnailton Lindamir Simas;2013-03-17;2013-03-27;5379.14;A;

8290;Delba Ailton Goveia;2013-07-23;2013-08-01;8037.73;I;

8291;Gleibson Henzel Tassinari;2015-07-30;2015-08-08;888.0;C;

8292;Deriomar Cleni Caurio;2014-06-27;2014-07-08;4664.24;Q;

8293;Valdesio Guth Maahs;2012-04-28;2012-05-07;9401.27;C;

8294;Ivelto Lemo Glockner;2015-07-04;2015-07-14;383.46;Q;

8295;Jesuino Adary Landt;2013-10-21;2013-10-31;5271.18;Q;

8296;Rolf Falcao Ferandes;2014-12-19;2014-12-29;5913.87;C;

8297;Julival Daiane Hirata;2009-08-27;2009-09-07;8638.58;Q;

8298;Luziana Temoteo Lixinski;2010-05-24;2010-06-03;6010.13;C;

8299;Marlus Julieta Wisinheski;2010-08-16;2010-08-26;9643.02;I;

8300;Gilead L.Silva Cherutti;2010-02-12;2010-02-22;1469.19;I;

8301;Farly Stefanello Moller;2010-09-24;2010-10-03;3272.58;A;

8302;Jociara Panzenhagen Jung;2015-11-24;2015-12-07;8611.27;A;

8303;Alexnai Beulque Longo;2015-04-30;2015-05-10;8347.92;A;

8304;Gelair Miguel Bortolotti;2012-02-06;2012-02-16;348.07;I;

8305;Lucilene Polesso Guzen;2011-07-14;2011-07-24;8283.87;Q;

8306;Giclei Odalgir Kurtz;2013-02-23;2013-03-04;6587.78;A;

8307;Deiva Ronaldo Bundchen;2009-08-11;2009-08-21;782.73;I;

8308;Mirialdo Von Closs;2010-03-09;2010-03-19;3049.91;I;

8309;Irai Bloss Amador;2010-04-11;2010-04-21;9086.86;I;

8310;Odacio S.Lara Ludvich;2011-06-21;2011-07-02;9624.29;A;

8311;Dinailton Cinara Teixeira;2009-04-16;2009-04-26;5304.48;Q;

8312;Acelmo N. A. de Belotto;2009-03-19;2009-03-29;7221.52;C;

8313;Eliatan Naiomara Buffon;2011-07-16;2011-07-26;7311.28;I;

8314;Aenderson Claudionir Shiromaru;2013-09-06;2013-09-16;7527.77;I;

8315;Shoiti Danetti Somacal;2011-11-11;2011-11-21;4281.96;Q;

8316;Lavitor Nobre Caboclo;2012-06-08;2012-06-18;933.45;I;

8317;Rosenilda Rosani Sell;2010-10-25;2010-11-04;8233.07;C;

8318;Joseph Deoclides Valerio;2008-12-20;2008-12-29;2302.96;C;

8319;Eder Roni Resende;2010-04-25;2010-05-04;8204.06;Q;

8320;Alcenio Knecht Gebelucha;2009-06-02;2009-06-12;8552.76;A;

8321;Haroldo Braga Korsack;2009-04-06;2009-04-16;8536.51;A;

8322;Cleovan Nicola Torres;2012-08-17;2012-08-27;871.8;I;

8323;Jusciaria Filipe Vale;2010-12-21;2010-12-29;3820.78;I;

8324;Magnaldo Cicero Rohsmann;2010-07-09;2010-07-19;7145.59;C;

8325;Tamyza Oto Tambury;2016-03-24;2016-04-04;9754.0;I;

8326;Wildenberg Genivaldo Medeiros;2008-11-02;2008-11-12;2418.56;I;

8327;Eneias Alsindo Tizato;2012-01-03;2012-01-13;8029.33;A;

8328;Edilza Frois Justo;2014-08-26;2014-09-06;5693.06;I;

8329;Rogenaldo Ubirajara Filha;2012-02-09;2012-02-19;4805.74;A;

8330;Jeziela Henker Suptits;2008-09-05;2008-09-15;5819.76;I;

8331;Edicarla Meira Gottardi;2009-05-24;2009-06-03;2176.43;Q;

8332;Patrique Valtor Faccio;2016-01-01;2016-01-11;9070.33;I;

8333;Janiquecia Espinosa Prata;2014-04-20;2014-04-30;401.35;A;

8334;Noabson Neila Sturmer;2014-08-21;2014-09-01;2536.57;C;

8335;Nicio Marines Beer;2012-10-22;2012-11-01;7847.59;C;

8336;Lazara Fao Olivato;2011-02-12;2011-02-22;1101.44;C;

8337;Erinei Krug Lovato;2008-12-28;2009-01-05;6714.57;I;

8338;Wendell Ulguim Inhoatto;2012-07-04;2012-07-14;998.17;Q;

8339;Jeverson Goveia Fucilici;2011-05-14;2011-05-24;1821.23;Q;

8340;Wilhas E. Alencar;2015-07-09;2015-07-19;6297.72;Q;

8341;Aliana Fructos Stangherlin;2015-02-05;2015-02-15;503.96;Q;

8342;Nicolau Nildo Penz;2011-09-14;2011-09-24;4415.68;C;

8343;Adair Stivanin Warken;2014-11-25;2014-12-08;2655.61;Q;

8344;Anage Petronila Greiner;2013-07-24;2013-08-02;2691.41;C;

8345;Claudemiro Espirito Florencio;2014-10-11;2014-10-21;5566.5;A;

8346;Ebson Derci Wieczoreki;2009-08-03;2009-08-13;5159.96;C;

8347;Valtezer Mayca Boff;2012-06-07;2012-06-17;5587.69;C;

8348;Gidicelia Dal Froelich;2013-11-08;2013-11-18;7635.34;C;

8349;Milenice Joselito Schnorr;2013-05-17;2013-05-27;2676.41;I;

8350;Marilanze Morastica Tres;2010-03-22;2010-04-02;3476.24;A;

8351;Kath Rubenilson Benetti;2010-09-19;2010-09-29;4467.63;C;

8352;Tiziane Jaelma Gossenheimer;2010-06-03;2010-06-13;7176.09;I;

8353;Janilete Mariseti Ramos;2015-12-11;2015-12-21;6871.92;C;

8354;Arcemar Rumpel Brasil;2014-12-11;2014-12-21;3464.79;Q;

8355;Renato Joelma Perera;2014-01-02;2014-01-12;8604.77;I;

8356;Ostilio Hermano Simonetti;2013-07-16;2013-07-26;3027.58;I;

8357;Joceane Caetano Epifanio;2012-06-27;2012-07-08;1030.83;A;

8358;Franco Ermilo Juba;2010-08-18;2010-08-28;6378.26;C;

8359;Jacio Athanasio Rosario;2012-11-07;2012-11-17;6031.13;Q;

8360;Danesio Zampirolio Valadares;2010-11-12;2010-11-22;3090.61;C;

8361;Josimaria Aldorindo Inhoatto;2015-09-11;2015-09-21;2408.54;I;

8362;Olindo Claiton Coutinho;2009-11-03;2009-11-13;2949.16;Q;

8363;Fabricio Lauro Messeder;2014-04-24;2014-05-03;2121.24;I;

8364;Ricardo Arnoldo Barcellos;2011-09-05;2011-09-15;9478.2;A;

8365;Dedileu Yeger Batirola;2010-04-22;2010-05-01;2161.86;A;

8366;Renicio Cledoir Santanna;2016-01-27;2016-02-07;3153.07;I;

8367;Lucielio K.Da Johann;2014-11-08;2014-11-18;8312.96;I;

8368;Oldair Debrair Schafer;2015-09-23;2015-10-02;4026.85;I;

8369;Eglida Elvio Ramirez;2015-10-01;2015-10-11;8515.94;Q;

8370;Esdra Ivair Jahnn;2012-05-08;2012-05-18;6093.2;C;

8371;Reivan Detanico Guimaraes;2013-06-02;2013-06-12;7221.18;I;

8372;Derceli Daitx Valentim;2015-07-09;2015-07-19;8727.03;A;

8373;Diva Vilanova Boz;2011-01-09;2011-01-19;6708.63;Q;

8374;Waldineia Leocrecia Sant'Ana;2014-09-23;2014-10-02;860.67;I;

8375;Lindeval Francelino Gheno;2011-07-09;2011-07-19;1245.17;I;

8376;Eziquiel Adronei Pinheirodias;2008-12-04;2008-12-14;4104.01;A;

8377;Dinamar Duranti Lucena;2010-07-31;2010-08-09;6021.76;A;

8378;Carliana Sidelmar Wasem;2011-06-23;2011-07-04;9398.47;Q;

8379;Vauro Steill Rossetto;2013-08-01;2013-08-11;4781.93;I;

8380;Aurineis Lul Turchiello;2008-10-07;2008-10-17;2431.41;A;

8381;Odalgir Dalberto Kroning;2015-11-04;2015-11-14;5884.8;C;

8382;Jardanes Ander Zanuz;2012-06-25;2012-07-06;2497.96;C;

8383;Profiro Demilson Dallarosa;2015-06-20;2015-06-30;2870.15;A;

8384;Lizandro Manica Lehugeur;2012-07-14;2012-07-24;1678.66;A;

8385;Rafick Marce Gomes;2013-04-24;2013-05-03;9274.56;A;

8386;Alessander Osorio Lasta;2009-06-26;2009-07-07;782.21;I;

8387;Lorete Rosilene Federici;2009-02-09;2009-02-19;2098.91;C;

8388;Berli Koch Dietrich;2011-12-21;2011-12-29;1422.18;A;

8389;Fabia Adeildo Nazioseno;2011-02-17;2011-02-27;8904.83;C;

8390;Jecy Severino Dentz;2011-03-25;2011-04-05;3879.72;Q;

8391;Lea Deivid Santos.;2008-12-15;2008-12-25;4182.05;C;

8392;Margareti Anajara Castanho;2013-11-20;2013-12-02;9113.11;Q;

8393;Marilan Artur Delfino;2009-11-19;2009-11-29;3937.34;Q;

8394;Leci Emanueli Seifried;2013-03-04;2013-03-14;3932.47;I;

8395;Zirleide Alecsander Shimoda;2013-06-25;2013-07-06;5776.93;I;

8396;Renato Joelma Perera;2016-01-30;2016-02-09;2655.82;C;

8397;Algeo Oreques Reboucas;2014-11-08;2014-11-18;7558.75;Q;

8398;Valdinelia Anisia Canto;2012-04-04;2012-04-14;969.57;I;

8399;Giovanne Everaldo Barreto;2008-11-12;2008-11-22;6708.26;A;

8400;Aldai Jucileia Bourcheidt;2013-02-01;2013-02-11;4083.44;I;

8401;Edigenia Gobira Baltazar;2010-06-06;2010-06-16;1254.16;I;

8402;Natalina Florindo Emig;2011-02-03;2011-02-13;2809.87;C;

8403;Lutero Loureira Berlt;2008-07-22;2008-07-31;6363.37;Q;

8404;Catiuscia Godinho Ronzoni;2013-12-14;2013-12-24;9375.05;A;

8405;Andrevaldo Valderi Sarturi;2009-01-17;2009-01-27;4326.91;A;

8406;Aglae Vieiro Gebelucha;2014-09-22;2014-10-01;5702.8;Q;

8407;Nilva Amarildo Schimitt;2015-01-14;2015-01-24;1281.11;A;

8408;Custodio Jolimar Prata;2014-03-18;2014-03-28;2894.68;I;

8409;Edvanda Sipp Minhos;2011-11-18;2011-11-28;2864.26;C;

8410;Taisa Paulina Padia;2011-04-12;2011-04-22;3387.71;A;

8411;Marinilza Sell Amorin;2013-12-29;2014-01-07;5448.99;A;

8412;Domingo Zambom Grillo;2014-06-19;2014-06-29;6905.63;I;

8413;Cleonilson Konzen Kielling;2012-02-27;2012-03-07;8866.22;Q;

8414;Alfredo N.Chagas Pequeno;2013-03-03;2013-03-13;8891.28;A;

8415;Rubinson Filomeno Tomazi;2016-04-12;2016-04-22;4759.27;A;

8416;Rones Ristof Hubner;2010-03-21;2010-04-01;1684.1;C;

8417;Jamile Strelow Loeblein;2011-11-18;2011-11-28;3721.37;Q;

8418;Edirlane Ternus Petter;2015-11-04;2015-11-14;4210.14;I;

8419;Jusselino Oscar Raaber;2014-03-07;2014-03-17;901.38;A;

1570;Ednilson Cleci Peters;2013-11-28;2013-12-10;1067.69;Q;

1571;Anilto Ricarte Telles;2010-12-31;2011-01-10;7022.8;A;

1572;Lucilma F. Oliveira Boone;2010-11-28;2010-12-11;2496.02;A;

1573;Lutiana Wegner Lovatto;2008-08-19;2008-08-29;3140.96;Q;

1574;Ribamar Prado Glenzel;2016-01-31;2016-02-10;2454.28;A;

1575;Rute Aline Agapito;2011-06-16;2011-06-26;26.66;I;

1576;Ivonildes Marinho Debald;2015-09-06;2015-09-16;2999.1;I;

1577;Janeti Bartolomeu Marinho;2015-12-12;2015-12-22;1383.85;C;

1578;Alipio Herber Meneghel;2009-05-01;2009-05-11;4268.38;Q;

